Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neurotrophin signaling pathway_Homo sapiens_hsa04722	12/120	0.39927773075312378292522907941020093858242034912109375	0.99999999956408114343275883584283292293548583984375	0.22519045364327794356285039611975662410259246826171875	0.879324212318713716030060822959057986736297607421875	-0.15937714566868638	0.14632384461043318	RAP1B;CAMK2D;MAPK8;RPS6KA5;CAMK4;AKT3;MATK;BCL2;PIK3R1;PLCG1;SH2B3;MAP2K5
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	12/118	0.376701440531441444914406702082487754523754119873046875	0.99999999956408114343275883584283292293548583984375	0.210179061460805005623342367471195757389068603515625	0.8568966574193843666051861873711459338665008544921875	-0.1442054007173348	0.14078807019127088	MED30;TBC1D4;THRA;SIN3A;AKT3;SLC16A10;ATP1A1;PIK3R1;PLCG1;PLCB1;PRKACB;FOXO1
Hippo signaling pathway_Homo sapiens_hsa04390	15/153	0.408065026245953976768987558898515999317169189453125	0.99999999956408114343275883584283292293548583984375	0.210928407980156162881968384681385941803455352783203125	0.8568966574193843666051861873711459338665008544921875	-0.12481134096064246	0.11187199188404695	SMAD2;SMAD4;LEF1;TCF7;INADL;AMOT;SMAD7;TGFBR2;PPP1CB;PPP1CC;DLG1;PPP2R2B;BTRC;BMPR1A;LLGL2
Cholinergic synapse_Homo sapiens_hsa04725	11/111	0.419168591624801412098832997799036093056201934814453125	0.99999999956408114343275883584283292293548583984375	0.2463854860876417973702956487613846547901630401611328125	0.902256709616716445765405296697281301021575927734375	-0.09090375603776092	0.07903918627423741	CAMK2D;ADCY9;CAMK4;AKT3;BCL2;ITPR1;FYN;PIK3R1;GNB5;PLCB1;PRKACB
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	10/101	0.42841927002090607334849892140482552349567413330078125	0.99999999956408114343275883584283292293548583984375	0.261149494828857020589651938280439935624599456787109375	0.93012148843154551780543215500074438750743865966796875	-0.03095520805543023	0.026239273737010085	SMAD2;SMAD4;MAPK8;AKT3;BCL2;PIK3R1;PLCG1;PLCB1;FOXO1;TGFBR2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	17/180	0.459505174106423164293033778449171222746372222900390625	0.99999999956408114343275883584283292293548583984375	0.232362059371694573695066310392576269805431365966796875	0.879324212318713716030060822959057986736297607421875	-0.006630207610458697	0.0051556830991444196	CD86;CSF1R;CCNT2;CCNT1;KMT2A;FUS;GZMB;TRAF1;MLLT3;FOXO1;SUPT3H;TGFBR2;ELK4;MAF;SIN3A;IL2RB;CCR7
Olfactory transduction_Homo sapiens_hsa04740	7/415	0.99999999956408114343275883584283292293548583984375	0.99999999956408114343275883584283292293548583984375	0.99999996682645420076340769810485653579235076904296875	0.999999966826454311785710160620510578155517578125	4.1424299924227075	-0.0000000018057633461003352	CAMK2D;GNAL;ADRBK2;ARRB1;OR6C4;PRKACB;NCALD
Metabolic pathways_Homo sapiens_hsa01100	77/1239	0.99992452508467533078828637371771037578582763671875	0.99999999956408114343275883584283292293548583984375	0.97848598127018504566621004414628259837627410888671875	0.999999966826454311785710160620510578155517578125	4.395296691114244	-0.00033174716504072975	GALNT12;GALNT11;DGKE;PGAP1;HIBADH;DGKA;AMD1;MTR;ENO2;AUH;CYP2R1;REV3L;ENPP3;PTGDS;ENOPH1;HGSNAT;ATP6V1G1;MCCC1;AMPD2;DCK;ITPKB;DCTD;INPP4B;MTHFD1;PCCA;CYP2U1;IVD;DGKQ;NDUFS4;ALDH1A1;POLR1D;CMPK1;POLR1E;SUCLG2;UPRT;PIGL;PLCB1;PI4K2A;ST6GALNAC6;LIPT2;LIPT1;IDUA;NDUFB5;RPE;HDC;GMPS;AK5;LIAS;PLA2G7;CECR1;LDHB;EXTL2;PTDSS1;SGPL1;HLCS;MAN1C1;ST3GAL5;GCNT4;KDSR;PLCG1;ST3GAL1;GGT7;NDUFA5;EPHX2;ACADSB;PAFAH2;DHRS3;TRIT1;COQ6;AGMAT;RPIA;GNPDA2;ETNK1;MGAT4A;CYP2S1;CRYL1;LPIN1
MicroRNAs in cancer_Homo sapiens_hsa05206	11/297	0.99989912956443183222887682859436608850955963134765625	0.99999999956408114343275883584283292293548583984375	0.9974125002184861532583681764663197100162506103515625	0.999999966826454311785710160620510578155517578125	4.300016294947819	-0.00043376639409196965	MIRLET7F1;RPTOR;ABCB1;RPS6KA5;BCL2;MDM4;PLCG1;MIRLET7D;SIRT1;RECK;FOXP1
Alcoholism_Homo sapiens_hsa05034	5/179	0.99978394196646747094092688712407834827899932861328125	0.99999999956408114343275883584283292293548583984375	0.99740108117163750467426552859251387417316436767578125	0.999999966826454311785710160620510578155517578125	4.514558332888703	-0.0009755119830674394	PPP1CB;PPP1CC;CAMK4;H2AFV;GNB5
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	11/277	0.99965271669649891084219461845350451767444610595703125	0.99999999956408114343275883584283292293548583984375	0.99383594424994703420139785521314479410648345947265625	0.999999966826454311785710160620510578155517578125	4.242899023830093	-0.0014737439075580248	PTGER4;VIPR1;P2RY10;CYSLTR2;THRA;GZMA;S1PR1;S1PR2;S1PR5;NR3C1;PTGDR
Salmonella infection_Homo sapiens_hsa05132	1/86	0.99971199462558424375657750715618021786212921142578125	0.99999999956408114343275883584283292293548583984375	0.99839842396732991769425780148594640195369720458984375	0.999999966826454311785710160620510578155517578125	5.867620211037019	-0.001690149553571105	MAPK8
Taste transduction_Homo sapiens_hsa04742	1/83	0.9996170169087743584412919517490081489086151123046875	0.99999999956408114343275883584283292293548583984375	0.99799781266226528231300108018331229686737060546875	0.999999966826454311785710160620510578155517578125	5.813545223174302	-0.0022269159833597763	PRKACB
Complement and coagulation cascades_Homo sapiens_hsa04610	1/79	0.99944000018212530989103470346890389919281005859375	0.99999999956408114343275883584283292293548583984375	0.9973040118696638867135106920613907277584075927734375	0.999999966826454311785710160620510578155517578125	6.393239540590885	-0.0035812158120766893	PROCR
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.9986003399124283586019146241596899926662445068359375	0.99999999956408114343275883584283292293548583984375	0.986764651046103669074227582314051687717437744140625	0.999999966826454311785710160620510578155517578125	4.402641678953911	-0.006166518360139295	RBL2;DLG1;CASP8;TRAF5;PIK3R1;TRAF1;PRKACB;JAK1
Ras signaling pathway_Homo sapiens_hsa04014	21/227	0.48628998250011712389806461942498572170734405517578125	0.99999999956408114343275883584283292293548583984375	0.2268911979451678495589561634915298782289028167724609375	0.879324212318713716030060822959057986736297607421875	0.008929346297108294	-0.006437613652387201	CSF1R;RASGRF2;PIK3R1;STK4;ETS1;RASGRP1;RAP1B;TIAM1;ZAP70;MAPK8;MRAS;SYNGAP1;RASA3;PDGFD;AKT3;PLCG1;GNB5;PRKACB;RALGDS;LAT;ARF6
Oxidative phosphorylation_Homo sapiens_hsa00190	4/133	0.99840710525894771354415979658369906246662139892578125	0.99999999956408114343275883584283292293548583984375	0.98988622108372992247637967011542059481143951416015625	0.999999966826454311785710160620510578155517578125	4.620034748840885	-0.007365096525206862	ATP6V1G1;NDUFA5;NDUFB5;NDUFS4
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982	1/69	0.9985527064595773882871299065300263464450836181640625	0.99999999956408114343275883584283292293548583984375	0.99433190705889895610880557796917855739593505859375	0.999999966826454311785710160620510578155517578125	7.150685946917474	-0.01035663793726909	FMO4
Huntington's disease_Homo sapiens_hsa05016	9/193	0.99260679700506837530582515682908706367015838623046875	0.99999999956408114343275883584283292293548583984375	0.9551510008252461769728824947378598153591156005859375	0.999999966826454311785710160620510578155517578125	4.198863517052838	-0.03115837286946328	CASP8;NDUFA5;NDUFB5;SIN3A;NDUFS4;ITPR1;TFAM;NRF1;PLCB1
Parkinson's disease_Homo sapiens_hsa05012	6/142	0.9907143713764725578840852904249913990497589111328125	0.99999999956408114343275883584283292293548583984375	0.9566414331135375537229492692858912050724029541015625	0.999999966826454311785710160620510578155517578125	4.091333405585561	-0.038168085440364166	GNAL;NDUFA5;NDUFB5;NDUFS4;UBE2G2;PRKACB
Systemic lupus erythematosus_Homo sapiens_hsa05322	13/135	0.446010025695339373807968286200775764882564544677734375	0.99999999956408114343275883584283292293548583984375	0.2499443288850222433250536369087058119475841522216796875	0.9025767431959137443442386938841082155704498291015625	0.05135063008030424	-0.04146120983432689	CD86;HLA-DRB4;H2AFV;HLA-DMA;CD40LG;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Starch and sucrose metabolism_Homo sapiens_hsa00500	1/56	0.995030511015500440663572589983232319355010986328125	0.99999999956408114343275883584283292293548583984375	0.98513029551951414308774701567017473280429840087890625	0.999999966826454311785710160620510578155517578125	9.078685252801087	-0.045228901934923064	ENPP3
Glutathione metabolism_Homo sapiens_hsa00480	1/52	0.992737506400271474404917171341367065906524658203125	0.99999999956408114343275883584283292293548583984375	0.9799999006005304380551024223677814006805419921875	0.999999966826454311785710160620510578155517578125	9.560937395953145	-0.06968961425970187	GGT7
PPAR signaling pathway_Homo sapiens_hsa03320	2/69	0.98860880127163819341973294285708107054233551025390625	0.99999999956408114343275883584283292293548583984375	0.96593457210437516646805988784763030707836151123046875	0.999999966826454311785710160620510578155517578125	6.555563016332321	-0.0751043018927739	SLC27A1;SCD5
Central carbon metabolism in cancer_Homo sapiens_hsa05230	2/67	0.98657713566687232908947180476388894021511077880859375	0.99999999956408114343275883584283292293548583984375	0.96143098752580391508359980434761382639408111572265625	0.999999966826454311785710160620510578155517578125	6.390588719341878	-0.08636091625783911	AKT3;PIK3R1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	12/214	0.97595394902562693228986745452857576310634613037109375	0.99999999956408114343275883584283292293548583984375	0.88685456954061991918791818534373305737972259521484375	0.999999966826454311785710160620510578155517578125	3.6933404616106964	-0.08989545276745393	PPP1CB;PPP1CC;TIAM1;MRAS;ITGA4;PDGFD;PIP4K2A;ITGB8;ITGA6;PIK3R1;BAIAP2;ITGAL
Carbon metabolism_Homo sapiens_hsa01200	5/113	0.979119357333356532535617589019238948822021484375	0.99999999956408114343275883584283292293548583984375	0.92850170018629984980407243710942566394805908203125	0.999999966826454311785710160620510578155517578125	4.290227985342521	-0.09053121662529501	RPIA;PCCA;RPE;SUCLG2;ENO2
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	2/67	0.98657713566687232908947180476388894021511077880859375	0.99999999956408114343275883584283292293548583984375	0.96143098752580391508359980434761382639408111572265625	0.999999966826454311785710160620510578155517578125	7.383227995587137	-0.09977521049189006	LDHB;ENO2
Serotonergic synapse_Homo sapiens_hsa04726	5/112	0.97776715355695464904073332945699803531169891357421875	0.99999999956408114343275883584283292293548583984375	0.92525627210670913225243339184089563786983489990234375	0.999999966826454311785710160620510578155517578125	4.482636761795494	-0.10078635694793354	TRPC1;ITPR1;GNB5;PLCB1;PRKACB
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	1/48	0.98938731827349624126100025023333728313446044921875	0.99999999956408114343275883584283292293548583984375	0.97310381668078338446292718799668364226818084716796875	0.999999966826454311785710160620510578155517578125	9.691717302668494	-0.10340478788432982	GNPDA2
Shigellosis_Homo sapiens_hsa05131	2/65	0.98419407701437144897482767191831953823566436767578125	0.99999999956408114343275883584283292293548583984375	0.956359702810023026842145554837770760059356689453125	0.999999966826454311785710160620510578155517578125	6.787410750388441	-0.10813817270088401	MAPK8;BTRC
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	2/66	0.98543296625756637840964913266361691057682037353515625	0.99999999956408114343275883584283292293548583984375	0.95897030046589881724372617100016213953495025634765625	0.999999966826454311785710160620510578155517578125	7.952243121787275	-0.11669260511019568	RARS2;SEPSECS
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	2/64	0.9828529509393189034227589218062348663806915283203125	0.99999999956408114343275883584283292293548583984375	0.95359070706936022165933763972134329378604888916015625	0.999999966826454311785710160620510578155517578125	6.923293578372059	-0.11974363903878751	CCL5;POLR1D
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	8/151	0.9679197263657990379925877277855761349201202392578125	0.99999999956408114343275883584283292293548583984375	0.8852516837927841830691022551036439836025238037109375	0.999999966826454311785710160620510578155517578125	3.8493551209758934	-0.12551254443684415	MAPK8;CASP8;NDUFA5;NDUFB5;AKT3;NDUFS4;PRKAG2;PIK3R1
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	22/341	0.9665154079289888233716965260100550949573516845703125	0.99999999956408114343275883584283292293548583984375	0.81148039028872476219333975677727721631526947021484375	0.999999966826454311785710160620510578155517578125	3.714614270762659	-0.12651247575460883	PHLPP2;CSF1R;ITGA4;RPS6;PIK3R1;PPP2R5C;RPTOR;RBL2;NR4A1;PPP2R2B;PDGFD;COL6A2;AKT3;IL2RB;BCL2;THEM4;ITGB8;ITGA6;GNB5;IL7R;EIF4B;JAK1
Cardiac muscle contraction_Homo sapiens_hsa04260	3/78	0.9762565304796577692059145192615687847137451171875	0.99999999956408114343275883584283292293548583984375	0.93361510208287679102312495160731486976146697998046875	0.999999966826454311785710160620510578155517578125	5.55443728276124	-0.13347250857862367	CACNB1;CACNA2D2;ATP1A1
Drug metabolism - other enzymes_Homo sapiens_hsa00983	1/46	0.98717132399544771370614171246415935456752777099609375	0.99999999956408114343275883584283292293548583984375	0.9688115932942391594906439422629773616790771484375	0.999999966826454311785710160620510578155517578125	10.492867578051248	-0.1354804862223738	GMPS
Synaptic vesicle cycle_Homo sapiens_hsa04721	2/63	0.98140151269588915550201591031509451568126678466796875	0.99999999956408114343275883584283292293548583984375	0.95065440682945456796204553029383532702922821044921875	0.999999966826454311785710160620510578155517578125	7.22780666635914	-0.1356920521479205	ATP6V1G1;STX2
Basal transcription factors_Homo sapiens_hsa03022	1/45	0.9858955244905727166582209974876604974269866943359375	0.99999999956408114343275883584283292293548583984375	0.96641558560698814783762600200134329497814178466796875	0.999999966826454311785710160620510578155517578125	10.048454269936823	-0.14273717680310805	CCNH
Hepatitis C_Homo sapiens_hsa05160	7/133	0.96156948633446515106726337762665934860706329345703125	0.99999999956408114343275883584283292293548583984375	0.87674795031301167025361564810737036168575286865234375	0.999999966826454311785710160620510578155517578125	3.7295188956498664	-0.14615405688190353	MAPK8;CD81;PPP2R2B;AKT3;EIF3E;PIK3R1;JAK1
Long-term depression_Homo sapiens_hsa04730	2/60	0.97629541995384305774763333829469047486782073974609375	0.99999999956408114343275883584283292293548583984375	0.94074603083739105624516696479986421763896942138671875	0.999999966826454311785710160620510578155517578125	6.845518417972529	-0.16422435643520783	ITPR1;PLCB1
Proteasome_Homo sapiens_hsa03050	1/44	0.98449292532853072135168304157559759914875030517578125	0.99999999956408114343275883584283292293548583984375	0.96383587825571781504407908869325183331966400146484375	0.999999966826454311785710160620510578155517578125	10.529811204419564	-0.16456585973823457	PSME4
Pertussis_Homo sapiens_hsa05133	3/75	0.97053511378147783172920526340021751821041107177734375	0.99999999956408114343275883584283292293548583984375	0.92221605002926299032850465664523653686046600341796875	0.999999966826454311785710160620510578155517578125	5.5380119603909455	-0.1656291776182062	MAPK8;IL23A;IRF8
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	10/169	0.9469271724117354072092211936251260340213775634765625	0.99999999956408114343275883584283292293548583984375	0.8258454566728377077566847219713963568210601806640625	0.999999966826454311785710160620510578155517578125	3.1989883126526473	-0.17445072468243536	ATXN3;DNAJB1;SEC24B;MAPK8;UBE2D4;BCL2;MAN1C1;UBE2E2;UBE2G2;MARCH6
GABAergic synapse_Homo sapiens_hsa04727	4/88	0.9627825770122824255992100006551481783390045166015625	0.99999999956408114343275883584283292293548583984375	0.8997842363068799809155962066142819821834564208984375	0.999999966826454311785710160620510578155517578125	4.726510810562238	-0.17926553944805668	SLC38A1;ADCY9;GNB5;PRKACB
Endocytosis_Homo sapiens_hsa04144	17/259	0.93877533894503517597485142687219195067882537841796875	0.99999999956408114343275883584283292293548583984375	0.76390010057282398125977351810433901846408843994140625	0.999999966826454311785710160620510578155517578125	3.0444406041524674	-0.19234496881395538	SMAD2;CSF1R;WWP1;AGAP1;CBLB;ARRB1;RAB22A;TGFBR2;CYTH3;BIN1;ADRBK2;KIF5C;IL2RB;LDLRAP1;CHMP7;CYTH1;ARF6
Alzheimer's disease_Homo sapiens_hsa05010	10/168	0.94444962991159631116033779107965528964996337890625	0.99999999956408114343275883584283292293548583984375	0.82066258517892876067634233550052158534526824951171875	0.999999966826454311785710160620510578155517578125	3.3895895804291114	-0.19372495351344127	PPP3R1;PPP3CC;CASP8;NDUFA5;NDUFB5;NDUFS4;ITPR1;APBB1;NAE1;PLCB1
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980	3/73	0.96601981021971472518572454646346159279346466064453125	0.99999999956408114343275883584283292293548583984375	0.9136510275818547910375855281017720699310302734375	0.999999966826454311785710160620510578155517578125	5.648283035210679	-0.19526643982686182	AKR7A2;AKR7A3;CYP2S1
Amoebiasis_Homo sapiens_hsa05146	5/100	0.9537865115817847350143665607902221381664276123046875	0.99999999956408114343275883584283292293548583984375	0.87497731765178399232496531112701632082462310791015625	0.999999966826454311785710160620510578155517578125	4.14551906257627	-0.19614695477775823	GNAL;PIK3R1;PLCB1;PRKACB;SERPINB6
Platelet activation_Homo sapiens_hsa04611	11/122	0.547454976681885252531856167479418218135833740234375	0.99999999956408114343275883584283292293548583984375	0.34272382532672585053745706318295560777187347412109375	0.999999966826454311785710160620510578155517578125	0.32672373936466037	-0.19684290285787204	PPP1CB;RAP1B;PPP1CC;ADCY9;AKT3;ITPR1;FYN;PIK3R1;PLCB1;RASGRP1;PRKACB
Prolactin signaling pathway_Homo sapiens_hsa04917	3/72	0.96352439230369812950272034868248738348484039306640625	0.99999999956408114343275883584283292293548583984375	0.90905463226375271545975920162163674831390380859375	0.999999966826454311785710160620510578155517578125	5.441153549071548	-0.20217952750227003	MAPK8;AKT3;PIK3R1
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	1/42	0.98125569836749004792864070623181760311126708984375	0.99999999956408114343275883584283292293548583984375	0.958068068541127360049358685500919818878173828125	0.999999966826454311785710160620510578155517578125	11.18100490246634	-0.21156924058267662	HMOX2
p53 signaling pathway_Homo sapiens_hsa04115	8/69	0.2821967269240153175502427984611131250858306884765625	0.99999999956408114343275883584283292293548583984375	0.177504012648018016928830320466659031808376312255859375	0.80524038341384052142046812150510959327220916748046875	0.16797941205232805	-0.21251929393437186	CASP8;SESN3;ZMAT3;SESN1;SIAH1;TNFRSF10B;MDM4;ATR
Melanoma_Homo sapiens_hsa05218	3/71	0.960857100207174852357638883404433727264404296875	0.99999999956408114343275883584283292293548583984375	0.904237758368509503270615823566913604736328125	0.999999966826454311785710160620510578155517578125	5.390486812679104	-0.2152398750977654	PDGFD;AKT3;PIK3R1
Focal adhesion_Homo sapiens_hsa04510	13/202	0.92721321572350967610276484265341423451900482177734375	0.99999999956408114343275883584283292293548583984375	0.7653003844300669822331428804318420588970184326171875	0.999999966826454311785710160620510578155517578125	3.0568046680366945	-0.23100802831343997	ITGA4;PIK3R1;RAP1B;PPP1CB;PPP1CC;MAPK8;PDGFD;COL6A2;AKT3;BCL2;ITGB8;ITGA6;FYN
Oocyte meiosis_Homo sapiens_hsa04114	11/123	0.55867089921167412125413420653785578906536102294921875	0.99999999956408114343275883584283292293548583984375	0.351854757819761776449496437635389156639575958251953125	0.999999966826454311785710160620510578155517578125	0.44768813367008264	-0.260641663368446	PPP1CB;PPP1CC;PPP3R1;CAMK2D;ADCY9;PPP3CC;SPDYA;ITPR1;PPP2R5C;BTRC;PRKACB
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	6/106	0.924924157218351528086941470974124968051910400390625	0.99999999956408114343275883584283292293548583984375	0.81544708117961717253052711384952999651432037353515625	0.999999966826454311785710160620510578155517578125	3.4272931783674894	-0.2674780820704753	CD86;MAPK8;CASP8;CCL5;AKT3;PIK3R1
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	2/55	0.96463492838606301749138083323487080633640289306640625	0.99999999956408114343275883584283292293548583984375	0.91992298497453683925328959958278574049472808837890625	0.999999966826454311785710160620510578155517578125	7.438183635137335	-0.26781598036650656	NCL;FYN
Pyruvate metabolism_Homo sapiens_hsa00620	1/40	0.97734312571744652586858137510716915130615234375	0.99999999956408114343275883584283292293548583984375	0.95138234221808770652017983593395911157131195068359375	0.999999966826454311785710160620510578155517578125	11.967162541828376	-0.274257270453748	LDHB
VEGF signaling pathway_Homo sapiens_hsa04370	7/61	0.3107494941915900366069536175928078591823577880859375	0.99999999956408114343275883584283292293548583984375	0.2051742557039153702636014031668310053646564483642578125	0.8568966574193843666051861873711459338665008544921875	0.24951288552557596	-0.2916227201777518	PPP3R1;PPP3CC;SH2D2A;AKT3;NFATC2;PIK3R1;PLCG1
Insulin signaling pathway_Homo sapiens_hsa04910	12/139	0.6076343612615342504312820892664603888988494873046875	0.99999999956408114343275883584283292293548583984375	0.383993578941301760831805722773424349725246429443359375	0.999999966826454311785710160620510578155517578125	0.6377520986367476	-0.31771658884833953	PPP1CB;RPTOR;PPP1CC;MAPK8;RPS6;AKT3;PDE3B;PRKAG2;CBLB;PIK3R1;PRKACB;FOXO1
Chemokine signaling pathway_Homo sapiens_hsa04062	16/187	0.62634603718184000964441793257719837129116058349609375	0.99999999956408114343275883584283292293548583984375	0.366802125385881527819265102152712643146514892578125	0.999999966826454311785710160620510578155517578125	0.69160703551904	-0.32356993227351866	CX3CR1;ITK;ARRB1;PIK3R1;RAP1B;TIAM1;ADCY9;ADRBK2;CCL5;AKT3;XCL2;CCR7;GNB5;PLCB1;PRKACB;CCL28
Pancreatic secretion_Homo sapiens_hsa04972	9/96	0.50379546528047913778181055022287182509899139404296875	0.99999999956408114343275883584283292293548583984375	0.327007727932716651952915754009154625236988067626953125	0.999999966826454311785710160620510578155517578125	0.477658447609242	-0.3274754267455195	RAP1B;CPA3;ADCY9;TRPC1;ITPR1;ATP1A1;ATP2B1;PLCB1;SLC4A4
Glutamatergic synapse_Homo sapiens_hsa04724	10/114	0.58548115586281690436720737125142477452754974365234375	0.99999999956408114343275883584283292293548583984375	0.383884629249597708611219104568590410053730010986328125	0.999999966826454311785710160620510578155517578125	0.6403569017064263	-0.34279667701750316	SLC38A1;PPP3R1;ADCY9;PPP3CC;ADRBK2;TRPC1;ITPR1;GNB5;PLCB1;PRKACB
Protein digestion and absorption_Homo sapiens_hsa04974	5/90	0.9178012412456275637140379330958239734172821044921875	0.99999999956408114343275883584283292293548583984375	0.81346616236880342487580719534889794886112213134765625	0.999999966826454311785710160620510578155517578125	4.0210253010270804	-0.3449011315308325	DPP4;CPA3;COL6A2;SLC16A10;ATP1A1
Choline metabolism in cancer_Homo sapiens_hsa05231	9/101	0.56669206624987078502186932382755912840366363525390625	0.99999999956408114343275883584283292293548583984375	0.378141709952912796754986857195035554468631744384765625	0.999999966826454311785710160620510578155517578125	0.6079573552117138	-0.3452828235688512	DGKE;MAPK8;DGKA;DGKQ;PDGFD;AKT3;PIK3R1;PLCG1;RALGDS
Retinol metabolism_Homo sapiens_hsa00830	3/65	0.9406074785572560159607746754772961139678955078125	0.99999999956408114343275883584283292293548583984375	0.87020998029931784234491942697786726057529449462890625	0.999999966826454311785710160620510578155517578125	5.712104074705704	-0.34974846912667606	CYP2S1;ALDH1A1;DHRS3
Melanogenesis_Homo sapiens_hsa04916	6/100	0.8975453768042829238993363105691969394683837890625	0.99999999956408114343275883584283292293548583984375	0.77228803047798122438649670584709383547306060791015625	0.999999966826454311785710160620510578155517578125	3.369553877620887	-0.3642204725612055	CAMK2D;ADCY9;LEF1;TCF7;PLCB1;PRKACB
TGF-beta signaling pathway_Homo sapiens_hsa04350	8/84	0.49134197543679281050543750097858719527721405029296875	0.99999999956408114343275883584283292293548583984375	0.3274890391243141518629045094712637364864349365234375	0.999999966826454311785710160620510578155517578125	0.5193084801576812	-0.36902834679733343	SMAD2;TGIF1;SMAD4;NOG;ACVR2A;TGFBR2;BMPR1A;SMAD7
Estrogen signaling pathway_Homo sapiens_hsa04915	6/99	0.8922322813653664752564509399235248565673828125	0.99999999956408114343275883584283292293548583984375	0.76441171757475856463059926682035438716411590576171875	0.999999966826454311785710160620510578155517578125	3.2880242874512855	-0.37492938227177447	ADCY9;AKT3;ITPR1;PIK3R1;PLCB1;PRKACB
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	14/167	0.653791431359505015308286601793952286243438720703125	0.99999999956408114343275883584283292293548583984375	0.40768222908087559108736286361818201839923858642578125	0.999999966826454311785710160620510578155517578125	0.8912900034578528	-0.3787687414659793	PDE3B;NFATC3;ITPR1;NFATC2;ATP1A1;PIK3R1;ATP2B1;PPP1CB;PPP1CC;PPP3R1;ADCY9;PPP3CC;AKT3;PLCB1
Hepatitis B_Homo sapiens_hsa05161	10/146	0.85864730128225386085460968388360925018787384033203125	0.99999999956408114343275883584283292293548583984375	0.676619559168103013035988624324090778827667236328125	0.999999966826454311785710160620510578155517578125	2.575179523870951	-0.3924497202575945	SMAD4;MAPK8;CASP8;AKT3;NFATC3;BCL2;STAT4;NFATC2;PIK3R1;JAK1
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	20/265	0.82929745167631807589714298956096172332763671875	0.99999999956408114343275883584283292293548583984375	0.55411991774777280550523528290796093642711639404296875	0.999999966826454311785710160620510578155517578125	2.09769954826734	-0.39263980859202585	CX3CR1;CSF1R;IL10RA;FLT3LG;TNFRSF10B;ACVR2A;TGFBR2;CD40LG;IL23A;CCL5;IL2RB;IL21R;XCL2;TNFSF8;CCR7;TNFRSF25;IL7R;CCL28;IL12RB2;BMPR1A
Biosynthesis of amino acids_Homo sapiens_hsa01230	4/74	0.91078905341542626405981764037278480827808380126953125	0.99999999956408114343275883584283292293548583984375	0.81351942331085169701765380523283965885639190673828125	0.999999966826454311785710160620510578155517578125	4.313860128943178	-0.4031041884880731	RPIA;RPE;MTR;ENO2
Calcium signaling pathway_Homo sapiens_hsa04020	13/180	0.83612879514176474682329853749251924455165863037109375	0.99999999956408114343275883584283292293548583984375	0.618521225640197513939710916019976139068603515625	0.999999966826454311785710160620510578155517578125	2.2769334141469093	-0.40750873092943435	CAMK2D;ITPR1;ATP2B1;ITPKB;PPP3R1;ADCY9;CYSLTR2;GNAL;PPP3CC;CAMK4;PLCG1;PLCB1;PRKACB
African trypanosomiasis_Homo sapiens_hsa05143	1/35	0.96360942057357623635738264056271873414516448974609375	0.99999999956408114343275883584283292293548583984375	0.929637829868298570801243840833194553852081298828125	0.999999966826454311785710160620510578155517578125	11.080947987730475	-0.41076223011230306	PLCB1
Lysosome_Homo sapiens_hsa04142	10/123	0.68166030366295327080905508410069160163402557373046875	0.99999999956408114343275883584283292293548583984375	0.471635199782654168654261184201459400355815887451171875	0.999999966826454311785710160620510578155517578125	1.0892766540064247	-0.41743677530464096	AP3M2;MFSD8;AP3M1;HGSNAT;CTSO;GNPTAB;NPC1;IDUA;AP1S2;CTSW
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	10/142	0.835074181502812873389984815730713307857513427734375	0.99999999956408114343275883584283292293548583984375	0.64436588691920604343721379336784593760967254638671875	0.999999966826454311785710160620510578155517578125	2.336846128429449	-0.42118080285985154	SMAD2;SMAD4;ZFHX3;RIF1;PCGF5;AKT3;PIK3R1;ACVR2A;BMPR1A;JAK1
